file_id,sha1_git,github_repo,path,commit_sha,language,domain,first_commit_date,spdx_license
python_f0f366a06ea0,f0f366a06ea0c7cbb79de90b1b101c896391c882,semantica-agi/semantica,.github/scripts/filter_checkov_skipped.py,main,python,data_engineering,2025-06-25,MIT
python_693a0532ebac,693a0532ebace0557e37734ae5fbd380ef786640,semantica-agi/semantica,cookbook/advanced/snowflake_ingestion_examples.py,main,python,data_engineering,2025-06-25,MIT
python_7f0ede1fd61c,7f0ede1fd61ce2e224d0462b58962e0c63474b34,semantica-agi/semantica,docs_check.py,main,python,data_engineering,2025-06-25,MIT
python_b399951c2113,b399951c2113c9b90e3e5c8add1840122c82c7a0,semantica-agi/semantica,examples/arrow_export_example.py,main,python,data_engineering,2025-06-25,MIT
python_690f30aceea9,690f30aceea9e1eb265778d17fda50fa2ca91b73,K-Dense-AI/scientific-agent-skills,scan_pr_skills.py,main,python,scientific_computing,2025-10-19,MIT
python_302b9654dad9,302b9654dad98ab83cb81847317de80a19ce6c62,K-Dense-AI/scientific-agent-skills,skills/analytical-method-validation/scripts/check_accuracy_precision.py,main,python,scientific_computing,2025-10-19,MIT
python_dfa9eaacc07a,dfa9eaacc07adede8b8101b6913befd2bdaea22a,headroomlabs-ai/headroom,.github/scripts/pr-health-labels.py,main,python,web_backend,2026-01-07,Apache-2.0
python_3a06f607d60f,3a06f607d60f650655c1c1335138b255cf7cada1,headroomlabs-ai/headroom,benchmarks/__init__.py,main,python,web_backend,2026-01-07,Apache-2.0
python_933954b25b3a,933954b25b3ab0ac27350cbd4196c176b0c5be48,Zipstack/unstract,.claude/skills/adapter-ops/scripts/manage_models.py,main,python,data_engineering,2024-02-21,AGPL-3.0
python_6e6d8bee6a46,6e6d8bee6a463846c9630322e644fd7c7c28bb3d,Zipstack/unstract,.claude/skills/connector-ops/scripts/fetch_logo.py,main,python,data_engineering,2024-02-21,AGPL-3.0
python_7e2e7e52cab0,7e2e7e52cab06c90c016b4b7c440391793c2a5be,st-tech/ppf-contact-solver,.github/workflows/scripts/cancel-all.py,main,python,scientific_computing,2024-11-21,Apache-2.0
python_4af2a99ab65a,4af2a99ab65a90751c6f864e3cdf6619250c0dcb,st-tech/ppf-contact-solver,.github/workflows/scripts/example-gen-win.py,main,python,scientific_computing,2024-11-21,Apache-2.0
python_9c3f8383cb0e,9c3f8383cb0e1414eddb10bec5596351df1ee6fe,st-tech/ppf-contact-solver,.github/workflows/scripts/example-gen.py,main,python,scientific_computing,2024-11-21,Apache-2.0
python_510e22e783b1,510e22e783b1577476a371f83b4c796c04f53dbc,st-tech/ppf-contact-solver,.github/workflows/scripts/example-list.py,main,python,scientific_computing,2024-11-21,Apache-2.0
