file_id,sha1_git,split,language,domain,loc,cyclomatic,n_functions,has_docstring,matched_pair_id,spdx_license,first_commit_date,in_stack_v2,clone_free_local,clone_free_sourcerercc,github_repo,path,commit_sha
python_00584ce5183a,00584ce5183a0f97b700ea00632e29e270ec5618,U,python,scientific_computing,107,18,6,True,pair_0319,NOASSERTION,2025-08-18,False,True,True,4thfever/cultivation-world-simulator,src/classes/action/assassinate.py,main
python_00733ad6654a,00733ad6654af6831e450c0331ae5926b402b95e,U,python,scientific_computing,73,13,4,True,pair_0130,,2026-03-30,False,True,True,Gokuld102/ai-traffic-signal-optimization,ai/traffic_model.py,main
python_00ca747b7a41,00ca747b7a41a0dae74f6d47190b7e498e3445c1,E,python,data_engineering,69,18,3,True,pair_0380,,2026-05-12,False,True,True,sophie-nguyenthuthuy/data-engineering,abandoned-cart-recovery-pipeline/src/cartrec/detect.py,main
python_00d257506502,00d257506502c1eaefaca3c5b0b9840694006df3,U,python,scientific_computing,63,7,2,False,pair_0222,,2024-08-23,False,True,True,GimpelZhang/GaussianRPG,lib/datasets/blender_readers.py,main
python_00fdfa79c045,00fdfa79c045add56938836a63aacbe8a1ae4181,H,python,data_engineering,29,5,1,True,,MIT,2024-02-28,False,True,True,microsoft/dbt-fabricspark,src/dbt/adapters/fabricspark/_http_utils.py,main
python_01162a6d4830,01162a6d48303914753cabab0c41588d97c29e14,E,python,scientific_computing,126,28,5,True,pair_0288,Apache-2.0,2025-02-24,False,True,True,pasteurlabs/tesseract-core,.github/workflows/update_runtime_deps.py,main
python_01cd4826aa60,01cd4826aa606d5ce811d4d0593de1cb49839e94,U,python,scientific_computing,289,33,9,True,pair_0097,NOASSERTION,2024-09-23,False,True,True,Croydon-Brixton/pymol-remote,src/pymol_remote/server.py,main
python_01d24f3015e5,01d24f3015e50d58ebcca84291e9390f85195be5,E,python,web_backend,37,5,2,False,pair_0352,,2025-11-19,False,True,True,nuglifeleoji/Options-Analytics-Agent,Week1/first_simple_openai_agent.py,main
python_01d6b4e92542,01d6b4e9254201dd54c28d58a035c633ef09049d,E,python,data_engineering,28,10,2,True,pair_0369,,2026-07-03,False,True,True,Victor-Kipruto-Rop/mpesa_safaricom-fraud_anomaly_detection,batch_reconcile.py,main
python_01dae122362f,01dae122362f46ff8e83b895bbd7d0a366b89500,E,python,web_backend,14,3,2,False,pair_0256,AGPL-3.0,2026-03-18,False,True,True,lxf746/any-auto-register,api/account_checks.py,main
python_020408511f14,020408511f14112f130b328b07dbc972153b143e,E,python,data_engineering,184,3,2,True,pair_0216,Apache-2.0,2025-03-12,False,True,True,dbt-labs/dbt-mcp,examples/ag2_agent/main_multiagent.py,main
python_02c589c4d5ab,02c589c4d5ab55666ab6b060a81448ab94bfa9a1,U,python,scientific_computing,63,3,2,True,pair_0335,Apache-2.0,2025-02-06,False,True,True,BarisYazici/libfranka-sim,franka_sim/__init__.py,main
python_031f44c61327,031f44c61327dac5ff84b2d7d39d0183d60b1f60,H,python,scientific_computing,154,17,2,True,,NOASSERTION,2025-12-18,False,True,True,NVIDIA-Omniverse/ovrtx,docs/conf.py,main
python_033a924bfb9c,033a924bfb9c5d7745076534475bfdb40d4a645e,E,python,data_engineering,36,4,2,True,pair_0396,MIT,2023-12-05,False,True,True,HamzaG737/data-engineering-project,scripts/create_table.py,main
python_03a5cd0bf9b6,03a5cd0bf9b60402809279ee0ae5b8dfa91f3807,E,python,data_engineering,108,35,6,True,pair_0211,NOASSERTION,2025-11-24,False,True,True,databricks-solutions/lakeflow_framework,docs/scripts/select_versions.py,main
python_03d822ef1746,03d822ef1746e4a0a0756458411f12483535d5bd,E,python,scientific_computing,33,8,5,True,pair_0154,Apache-2.0,2025-11-29,False,True,True,OpenDriveLab/SimScale,navsim/agents/constant_velocity_agent.py,main
python_046b60b60f40,046b60b60f4074c37febd6fbd182eef596f05ad0,E,python,data_engineering,145,9,7,True,pair_0110,Apache-2.0,2024-05-30,False,True,True,astronomer/astro-provider-ray,dev/dags/ray_dynamic_config.py,main
python_0489769e4607,0489769e4607e7ef715b2272a9cec51ed7399615,U,python,data_engineering,75,21,4,True,pair_0065,MIT,2024-12-20,False,True,True,akmalsoliev/Validoopsie,tests/test_raise_results.py,main
python_04bcead9b4e8,04bcead9b4e8c21fe20eb2de82f70961d4b7a4f6,E,python,scientific_computing,41,4,2,True,pair_0083,Apache-2.0,2024-01-16,False,True,True,themperek/cocotb-vivado,examples/counter/test_counter.py,main
python_04de6ee6d593,04de6ee6d5934e68c2ad9f084403e254d62ae2eb,E,python,scientific_computing,174,33,5,True,pair_0297,NOASSERTION,2026-02-25,False,True,True,ClawBio/ClawBio,GENOMEBOOK/PYTHON/01-soul2dna.py,main
python_0524093ef085,0524093ef085aa54816e88b97820c588cb764823,E,python,web_backend,98,20,3,True,pair_0074,Apache-2.0,2024-12-30,False,True,True,remsky/Kokoro-FastAPI,api/src/core/config.py,master
python_058f477a9e69,058f477a9e69107871e0e397e24d3eb50b6fd95a,E,python,scientific_computing,44,11,1,False,pair_0107,,2024-03-21,False,True,True,samerps/Blender-FastHenry,functions/read_csv_data.py,main
python_059da181de0d,059da181de0d616ff1acd7fdb23e2759283faad4,E,python,web_backend,36,8,3,False,pair_0093,MIT,2025-04-16,False,True,True,NicholasGoh/fastapi-mcp-langgraph-template,backend/api/core/config.py,main
python_06485a35e082,06485a35e082f45c334c07f7af99e4a1365e54c6,U,python,data_engineering,168,7,5,True,pair_0175,MIT,2026-01-27,False,True,True,GramosoftAI/GcrawlAI,api/api.py,main
python_069c1249b693,069c1249b69325afd03199962a02425ad5e95ec8,E,python,web_backend,69,5,3,True,pair_0164,MIT,2025-04-07,False,True,True,wassim249/fastapi-langgraph-agent-production-ready-template,alembic/env.py,master
python_06bbef6ad614,06bbef6ad614dba5daa3d735cd26bceb76bf320d,U,python,data_engineering,81,9,4,True,pair_0386,,2026-05-16,False,True,True,Victor-Kipruto-Rop/Real_Time_Transaction_Streaming-MPESA-,app/database/connection.py,main
python_06c41801bdc1,06c41801bdc18cf3f881a3ea93cef4f6cfd31f11,E,python,data_engineering,109,25,3,True,pair_0246,,2026-05-12,False,True,True,sophie-nguyenthuthuy/data-engineering,abandoned-cart-recovery-pipeline/src/cartrec/attribute.py,main
python_070252a5117b,070252a5117b815e537e7fbf9b2d14d6dbee504c,U,python,data_engineering,134,11,2,True,pair_0179,Apache-2.0,2026-01-13,False,True,True,astronomer/agents,astro-airflow-mcp/src/astro_airflow_mcp/adapters/__init__.py,main
python_079dfd82ec6e,079dfd82ec6e4a230e1c45a98edd2cede8102f89,E,python,scientific_computing,23,8,2,True,pair_0271,MIT,2026-01-27,False,True,True,rastagan-git/AromaNexus,aromanexus/cache.py,main
python_07e3461c10e5,07e3461c10e5bd086062800542e530a56c8d4461,E,python,scientific_computing,143,51,5,True,pair_0195,MIT,2026-05-21,False,True,True,NetX-lab/Frontier,frontier/attention/ops.py,main
python_07ff93bccd42,07ff93bccd422e9eb61f2c9f4cf3cdf10321a742,E,python,web_backend,107,9,4,True,pair_0111,GPL-3.0,2024-05-10,False,True,True,adithya-s-k/marker-api,distributed_server.py,master
python_08ccccad66c3,08ccccad66c388b9d37ea54cf782628cd0321e1c,E,python,data_engineering,67,13,4,True,pair_0254,GPL-3.0,2024-01-05,False,True,True,billwallis/dbt-py,dbt_py/config.py,main
python_0936bd6c2522,0936bd6c2522b7aa7a70231b0accc89e84bb0bd5,U,python,scientific_computing,86,7,4,True,pair_0090,NOASSERTION,2025-08-24,False,True,True,openwave-labs/openwave,dev_docs/taichi/ggui_geometries/test_lines_vs_particles.py,main
python_094d217c7f99,094d217c7f9976a0128d62bc7a77613429fb190c,H,python,data_engineering,97,23,3,True,,MIT,2026-01-07,False,True,True,leftkats/greek-software-ecosystem,src/greek_software_ecosystem/fetch_open_source_github_stats.py,main
python_095645e50cae,095645e50caeb17a66c123a08aacc3f98b329921,E,python,data_engineering,137,11,2,True,pair_0179,MIT,2025-11-04,False,True,True,ml4t/data,examples/analyze_only_with_actions.py,main
python_096583b8f8f8,096583b8f8f8e885fc3c4a8f94234dbfe5c85cd0,E,python,scientific_computing,39,8,3,True,pair_0091,BSD-3-Clause,2024-12-11,False,True,True,hesl-seu/v2sim,cases/sumo_37nodes/ext.py,main
python_099ff953de00,099ff953de005aaa1598aef3f6160ec667536d87,E,python,web_backend,56,12,7,False,pair_0201,BSD-3-Clause,2026-02-03,False,True,True,RealOrangeOne/django-tasks-db,django_tasks_db/admin.py,master
python_09a13baebc84,09a13baebc84ff855856a6ea2eb1813200116349,E,python,scientific_computing,118,7,2,False,pair_0353,AGPL-3.0,2024-04-27,False,True,True,helicalAI/helical,ci/download_all.py,release
python_09c0428624f0,09c0428624f093fda852bbc024459c03f4d61116,E,python,web_backend,30,4,3,False,pair_0304,MIT,2024-05-08,False,True,True,Malith-Rukshan/Suno-API,suno/utils.py,main
python_09cfedca489c,09cfedca489c7f83ee0353c89529950258b463ee,U,python,data_engineering,153,28,7,True,pair_0382,Apache-2.0,2024-05-28,False,True,True,onthemarkdata/sonnet-scripts,cli/src/sonnet_cli/checks.py,main
python_09fe38061164,09fe38061164d1e9f45f514c5f80fa0890144767,E,python,data_engineering,137,12,7,True,pair_0166,,2024-07-25,False,True,True,akarce/e2e-structured-streaming,spark_stream.py,main
python_0a2caf027e7b,0a2caf027e7b6a061471e5cf11d1345cfadb9df1,E,python,web_backend,47,2,2,True,pair_0243,MIT,2025-11-30,False,True,True,PunithVT/ai-avatar-system,backend/alembic/versions/0002_add_perf_indexes.py,main
python_0a4428524021,0a44285240217f0dc23314cabefb1034b5ec043a,H,python,web_backend,84,2,1,True,,AGPL-3.0,2024-09-26,False,True,True,eitchtee/WYGIWYH,app/WYGIWYH/urls.py,main
python_0a6fde4d49f5,0a6fde4d49f53d0b385d3ef945b44cf474bed64c,U,python,web_backend,51,6,3,True,pair_0287,Apache-2.0,2026-04-27,False,True,True,caura-ai/caura,capture_baselines.py,main
python_0a759e7f5acd,0a759e7f5acd4361095eb2a20084d5f446528ed2,U,python,data_engineering,25,3,3,False,pair_0140,,2025-02-15,False,True,True,jsrl/aemet-elt,dlt/load_data_to_bq.py,main
python_0a9e6bd575b1,0a9e6bd575b12d35fafbe1ad697c371d3f8541d3,U,python,data_engineering,148,13,7,True,pair_0131,MIT,2026-01-26,False,True,True,lensesio/agentic-engineering-for-apache-kafka,skills/kafka-python-client/references/producer-template.py,main
python_0acf3c802251,0acf3c802251722a93949d18bee8dcc13da43876,H,python,web_backend,103,12,5,True,,MIT,2024-01-24,False,True,True,volfpeter/fasthx,examples/htmy-rendering/htmy_app.py,main
python_0b04d8521a16,0b04d8521a1697e8532e3af8d6a51aacac4ffd5a,E,python,scientific_computing,54,12,8,True,pair_0265,BSD-3-Clause,2024-12-11,False,True,True,hesl-seu/v2sim,external_components/demo.py,main
python_0b973e6ad021,0b973e6ad0216ab87574f980537500712c2349b6,U,python,scientific_computing,140,50,5,True,pair_0195,MIT,2026-05-31,False,True,True,oaslananka/kicad-mcp-pro,integrations/common/validate-mcp-config.py,main
python_0be3e805d85f,0be3e805d85f0f3477f028e54714cb55c2dac91e,U,python,scientific_computing,61,11,3,False,pair_0053,MIT,2024-10-02,False,True,True,OSU-NLP-Group/ScienceAgentBench,compute_scores.py,main
python_0bf5b1ddfc82,0bf5b1ddfc82eb6169fe7a82b629a584c307cfd2,E,python,scientific_computing,111,4,3,True,pair_0321,MIT,2025-10-09,False,True,True,Niox1337/rainbow-tensor,src/rainbow_tensor/explanations.py,main
python_0c241b0d645c,0c241b0d645c6fc7d8093a48481ca6af74f98caf,H,python,data_engineering,76,22,10,True,,Apache-2.0,2024-01-30,False,True,True,muyu42/DataS,src/pipeline/base.py,main
python_0ce0992dbe7d,0ce0992dbe7d8648584108df575c49e8fb5d4ab1,U,python,scientific_computing,247,33,7,True,pair_0274,MIT,2026-06-10,False,True,True,oncologylab/fp-tools,benchmarks/scripts/build_footprint_ablation_plan.py,main
