file_id,sha1_git,split,language,domain,loc,cyclomatic,n_functions,has_docstring,matched_pair_id,spdx_license,first_commit_date,in_stack_v2,clone_free_local,clone_free_sourcerercc,github_repo,path,commit_sha
python_00ff648da0cb,00ff648da0cb7290ae35762eff897c651396643f,U,python,unknown,23,1,0,True,pair_0033,MIT,2024-11-29,False,True,True,virattt/ai-hedge-fund,hedge_fund/backtesting/__init__.py,fc1bf250ead209ae5f02c39c3d0062c4bb554505
python_01590813f44a,01590813f44ae5f19334df5a0130dd2ad5bc462b,E,python,unknown,115,15,2,True,pair_0051,Apache-2.0,2025-04-19,False,True,True,nari-labs/dia,cli.py,876125e461a03b157ec905b0fe8b57a0f8b9e7a0
python_017351dd0d6a,017351dd0d6a0fbe9df37cad56b165f57a9cf012,H,python,unknown,70,12,5,False,,Apache-2.0,2026-04-24,False,True,True,Yuan1z0825/nature-skills,scripts/tests/test_generate_star_history.py,7e626a86a0ac8d078be224e0a76aa1327875b0a1
python_0184a8f88fa4,0184a8f88fa458de76107b63d08b77b0c739abbc,H,python,unknown,242,72,10,True,,Apache-2.0,2026-04-03,False,True,True,Graphify-Labs/graphify,graphify/affected.py,67f99bd0059dd1bac9e44382907ef9f10098b39f
python_01d12b6d62c3,01d12b6d62c365db2ed52506192186c985603091,U,python,unknown,140,29,5,True,pair_0026,MIT,2025-10-19,False,True,True,alirezarezvani/claude-skills,agent-launcher/skills/agent-launcher-orchestrator/scripts/goal_router.py,19392f7a08264ed00486a251f5b2098321771f94
python_043399988974,043399988974cd4c61c598135bf5f32315f92278,U,python,unknown,181,42,7,True,pair_0079,Apache-2.0,2026-01-23,False,True,True,anthropics/knowledge-work-plugins,bio-research/skills/instrument-data-to-allotrope/scripts/flatten_asm.py,1f517b9de47e827c80cd933ed364e16838072239
python_04afb21f32f7,04afb21f32f717bc8221d1dd34ef396e857ee9dc,E,python,unknown,193,28,10,True,pair_0065,MIT,2025-05-14,False,True,True,Zie619/n8n-workflows,scripts/generate_search_index.py,94007c1445d9258a7da116646b79473e7c7c3282
python_06fe6285d035,06fe6285d0357021a0eb5f5621f05639975629ac,U,python,web_backend,63,1,0,False,pair_0039,Apache-2.0,2024-11-30,False,True,True,PrefectHQ/fastmcp,docs/apps/demos/dashboard.py,e3fb4af36892e6477399df2597f0dd5abd469799
python_084b5f8091c4,084b5f8091c49c326bc990e39532a96ec2fa8803,E,python,unknown,121,27,5,True,pair_0026,MIT,2025-12-21,False,True,True,muratcankoylan/Agent-Skills-for-Context-Engineering,examples/digital-brain-skill/agents/scripts/idea_to_draft.py,6dbe1a1d868eab51a3bc9011b0f55e2891513e40
python_088018648a3c,088018648a3ced8f53e3caa9b3c9d663defab879,E,python,unknown,56,5,1,True,pair_0013,Apache-2.0,2024-09-17,False,True,True,allenai/olmocr,docs/source/conf.py,f7cfe4c22098b154c76b6ec950d1c0a464eecf8d
python_08a997079c68,08a997079c685325c042ea5cb3dc1859fd612a2d,H,python,unknown,271,56,10,True,,MIT,2025-11-30,False,True,True,nextlevelbuilder/ui-ux-pro-max-skill,.claude/skills/design-system/scripts/fetch-background.py,4aad0584d92131626b16d4ff4d77f0455385013c
python_09b9c01c50d9,09b9c01c50d9202bd6455ce36887e08be92ac1ae,H,python,unknown,194,28,8,True,,,2025-11-25,False,True,True,openai/skills,skills/.curated/gh-address-comments/scripts/fetch_comments.py,49f948faa9258a0c61caceaf225e179651397431
python_0a438ed25a1d,0a438ed25a1da4aed35cac07c337020be389df43,H,python,unknown,139,29,3,True,,MIT,2026-08-11,False,True,True,guillaumemeyer/watermarks-remover,service/scripts/audit_dir.py,d9e9590d94e19b39eb2794266292324bfec8249a
