task,metric,model,prompt,jt_z,jt_p_value,mean_delta_k1,mean_delta_k5,mean_delta_k25,marginal_1_to_5,marginal_5_to_25,diminishing_returns
reproduction,lexical_f1,gemma-2-9b,P1a,-0.11877669013403466,0.5472738617451706,-0.004358683573770965,-0.004994622186317576,,-0.0006359386125466106,,False
reproduction,ast_edit_distance,gemma-2-9b,P1a,-0.6755801080973901,0.7503463627489386,0.0015298936676308471,-0.002817836277731334,,-0.004347729945362181,,False
reproduction,dataflow_sim,gemma-2-9b,P1a,-0.30297099894595136,0.6190440185037585,0.006180194277780582,0.002395100343114759,,-0.0037850939346658233,,False
reproduction,lexical_f1,gemma-2-9b,P1b,-0.5444434070610827,0.7069318087923205,-0.011738365354732924,-0.01707276819165426,,-0.005334402836921336,,False
reproduction,ast_edit_distance,gemma-2-9b,P1b,-0.34336713213874487,0.6343388585649108,-0.00664128856912435,-0.008458220218475464,,-0.0018169316493511145,,False
reproduction,dataflow_sim,gemma-2-9b,P1b,0.25217436877441624,0.400453144373704,0.0005901871653367079,-0.00017285245698974336,,-0.0007630396223264513,,False
reproduction,lexical_f1,gemma-2-9b,P4b,-0.6650288792783768,0.7469839890450004,-0.008967126123366965,-0.017830809773378958,,-0.008863683650011993,,False
reproduction,ast_edit_distance,gemma-2-9b,P4b,-0.7584826202467797,0.775918943206964,-0.0026227780640547932,-0.011410964390605056,,-0.008788186326550262,,False
reproduction,dataflow_sim,gemma-2-9b,P4b,0.5212307036592536,0.30110303385304815,0.00980304523572151,0.003837088784510106,,-0.005965956451211404,,False
reproduction,lexical_f1,gemma-2-9b,P5a,0.052454680414522926,0.4790832026892248,-0.003082756363820055,-0.0028376807665620126,,0.0002450755972580425,,False
reproduction,ast_edit_distance,gemma-2-9b,P5a,-0.14952598554944466,0.5594306968261338,0.0006874305137510757,-0.0013209710995988847,,-0.00200840161334996,,False
reproduction,dataflow_sim,gemma-2-9b,P5a,1.5365603797288698,0.0622005005792356,0.0038488581571243475,0.010069974947342497,,0.006221116790218149,,False
