task,metric,model,k,prompt,delta,ci_low,ci_high,n_pairs,p_value,p_adj,significant,delta_baseline,interaction
canary,canary_exact,gemma-2-2b,0,P1a,,,,0,,,False,,
canary,canary_exact,gemma-2-2b,0,P1b,,,,0,,,False,,
canary,canary_exact,gemma-2-2b,0,P4b,,,,0,,,False,,
canary,canary_exact,gemma-2-2b,0,P5a,,,,0,,,False,,
canary,canary_exact,gemma-2-2b,5,P1a,,,,0,,,False,,
canary,canary_exact,gemma-2-2b,5,P1b,,,,0,,,False,,
canary,canary_exact,gemma-2-2b,5,P4b,,,,0,,,False,,
canary,canary_exact,gemma-2-2b,5,P5a,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,0,P1a,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,0,P1b,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,0,P4b,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,0,P5a,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,1,P1a,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,1,P1b,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,1,P4b,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,1,P5a,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,5,P1a,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,5,P1b,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,5,P4b,,,,0,,,False,,
canary,canary_exact,gemma-2-9b,5,P5a,,,,0,,,False,,
canary,canary_near,gemma-2-2b,0,P1a,,,,0,,,False,,
canary,canary_near,gemma-2-2b,0,P1b,,,,0,,,False,,
canary,canary_near,gemma-2-2b,0,P4b,,,,0,,,False,,
canary,canary_near,gemma-2-2b,0,P5a,,,,0,,,False,,
canary,canary_near,gemma-2-2b,5,P1a,,,,0,,,False,,
canary,canary_near,gemma-2-2b,5,P1b,,,,0,,,False,,
canary,canary_near,gemma-2-2b,5,P4b,,,,0,,,False,,
canary,canary_near,gemma-2-2b,5,P5a,,,,0,,,False,,
canary,canary_near,gemma-2-9b,0,P1a,,,,0,,,False,,
canary,canary_near,gemma-2-9b,0,P1b,,,,0,,,False,,
canary,canary_near,gemma-2-9b,0,P4b,,,,0,,,False,,
canary,canary_near,gemma-2-9b,0,P5a,,,,0,,,False,,
canary,canary_near,gemma-2-9b,1,P1a,,,,0,,,False,,
canary,canary_near,gemma-2-9b,1,P1b,,,,0,,,False,,
canary,canary_near,gemma-2-9b,1,P4b,,,,0,,,False,,
canary,canary_near,gemma-2-9b,1,P5a,,,,0,,,False,,
canary,canary_near,gemma-2-9b,5,P1a,,,,0,,,False,,
canary,canary_near,gemma-2-9b,5,P1b,,,,0,,,False,,
canary,canary_near,gemma-2-9b,5,P4b,,,,0,,,False,,
canary,canary_near,gemma-2-9b,5,P5a,,,,0,,,False,,
reproduction,ast_edit_distance,gemma-2-2b,0,P4b,0.0020039902740335083,-0.01102960393741081,0.015077017067281413,404,0.7647,0.913,False,-0.004346799130212977,0.006350789404246485
reproduction,ast_edit_distance,gemma-2-2b,0,P5a,0.0006744025675778263,-0.012017946697507519,0.012953119172937424,404,0.9148,0.9403728813559322,False,-0.004346799130212977,0.005021201697790803
reproduction,ast_edit_distance,gemma-2-2b,0,P1b,-0.0028683968104430183,-0.015207586961774336,0.009553947099675688,404,0.6574,0.9067500000000001,False,-0.004346799130212977,0.0014784023197699585
reproduction,ast_edit_distance,gemma-2-2b,0,P1a,-0.004346799130212977,-0.01637951051145138,0.007859627086890288,404,0.4766,0.893625,False,-0.004346799130212977,0.0
reproduction,ast_edit_distance,gemma-2-2b,5,P1a,0.007473363818584587,-0.0037831777399834504,0.018665146049174994,404,0.1975,0.6683333333333334,False,0.007473363818584587,0.0
reproduction,ast_edit_distance,gemma-2-2b,5,P1b,0.007359660698904481,-0.00621325767245459,0.020586532291452377,404,0.2814,0.7144615384615385,False,0.007473363818584587,-0.00011370311968010582
reproduction,ast_edit_distance,gemma-2-2b,5,P5a,0.00414959794779623,-0.006687440121289304,0.01533279164395826,404,0.4691,0.893625,False,0.007473363818584587,-0.0033237658707883566
reproduction,ast_edit_distance,gemma-2-2b,5,P4b,-0.0028134486398188954,-0.014111113733936035,0.008389279496010009,404,0.6307,0.9067500000000001,False,0.007473363818584587,-0.010286812458403481
reproduction,ast_edit_distance,gemma-2-9b,0,P4b,0.012706431477218864,-0.0019590349393274805,0.027102803221694283,404,0.0889,0.5385000000000001,False,0.0018800205291843342,0.01082641094803453
reproduction,ast_edit_distance,gemma-2-9b,0,P5a,0.006899292693256157,-0.0057396222326303835,0.01975316745271824,404,0.2986,0.7144615384615385,False,0.0018800205291843342,0.005019272164071823
reproduction,ast_edit_distance,gemma-2-9b,0,P1a,0.0018800205291843342,-0.010686576723104567,0.01426920113936927,404,0.7627,0.913,False,0.0018800205291843342,0.0
reproduction,ast_edit_distance,gemma-2-9b,0,P1b,-0.0050428584122765895,-0.018275097736851126,0.008170505208330273,404,0.4518,0.893625,False,0.0018800205291843342,-0.0069228789414609235
reproduction,ast_edit_distance,gemma-2-9b,1,P1a,0.0015298936676308471,-0.010129567683336478,0.013048715969009436,404,0.7968,0.913,False,0.0015298936676308471,0.0
reproduction,ast_edit_distance,gemma-2-9b,1,P5a,0.0006874305137510757,-0.01211942488929217,0.013742483790270967,404,0.9149,0.9403728813559322,False,0.0015298936676308471,-0.0008424631538797714
reproduction,ast_edit_distance,gemma-2-9b,1,P4b,-0.0026227780640547932,-0.01688043133979235,0.011765300127707037,404,0.7254,0.9067500000000001,False,0.0015298936676308471,-0.00415267173168564
reproduction,ast_edit_distance,gemma-2-9b,1,P1b,-0.00664128856912435,-0.018706320333001996,0.005333354969018165,404,0.2876,0.7144615384615385,False,0.0015298936676308471,-0.008171182236755196
reproduction,ast_edit_distance,gemma-2-9b,5,P5a,-0.0013209710995988847,-0.012738601915340446,0.010117576823336928,404,0.8217,0.913,False,-0.002817836277731334,0.0014968651781324491
reproduction,ast_edit_distance,gemma-2-9b,5,P1a,-0.002817836277731334,-0.013500111049343445,0.007939699034137153,404,0.6094,0.9067500000000001,False,-0.002817836277731334,0.0
reproduction,ast_edit_distance,gemma-2-9b,5,P1b,-0.008458220218475464,-0.021212701649343205,0.004507075986270198,404,0.1981,0.6683333333333334,False,-0.002817836277731334,-0.005640383940744131
